iter	Accuracy	Logloss
0	0.858345021	0.419946573
1	0.8821879383	0.314402684
2	0.9018232819	0.2618725592
3	0.9088359046	0.2350166882
4	0.9186535764	0.2152065562
5	0.9284712482	0.1879608002
6	0.9368863955	0.1704339829
7	0.9467040673	0.1548712905
8	0.95371669	0.1366648733
9	0.9579242637	0.1267686355
10	0.9607293128	0.1206315651
11	0.9663394109	0.1114234974
12	0.9705469846	0.09949796681
13	0.9733520337	0.09442364592
14	0.9803646564	0.08218073851
15	0.9817671809	0.07551749003
16	0.9817671809	0.0727702973
17	0.9817671809	0.0682696783
18	0.9831697055	0.06372956208
19	0.98457223	0.05947033244
20	0.9859747546	0.05556817466
21	0.9859747546	0.05321849524
22	0.9859747546	0.05045156152
23	0.9873772791	0.04905522629
24	0.9873772791	0.04608276566
25	0.9873772791	0.04374565615
26	0.9873772791	0.04184796706
27	0.9887798036	0.03864604002
28	0.9887798036	0.03645369979
29	0.9887798036	0.03503638734
30	0.9887798036	0.03389238046
31	0.9887798036	0.03283434061
32	0.9887798036	0.03180149506
33	0.9887798036	0.03068384548
34	0.9887798036	0.02984558524
35	0.9887798036	0.02936861007
36	0.9887798036	0.0288422186
37	0.9887798036	0.02826933659
38	0.9887798036	0.02768054206
39	0.9887798036	0.02754146461
40	0.9887798036	0.02721220796
41	0.9887798036	0.02676454511
42	0.9887798036	0.02643630514
43	0.9887798036	0.02589029916
44	0.9887798036	0.02569744146
45	0.9887798036	0.02543681805
46	0.9887798036	0.02510943666
47	0.9887798036	0.02475910242
48	0.9887798036	0.02451788729
49	0.9887798036	0.02428090722
50	0.9887798036	0.02411169644
51	0.9887798036	0.02387454259
52	0.9887798036	0.02375283407
53	0.9887798036	0.02356329715
54	0.9887798036	0.02344289285
55	0.9887798036	0.02330606389
56	0.9887798036	0.02321578388
57	0.9887798036	0.02303970539
58	0.9887798036	0.02285105331
59	0.9887798036	0.02275576737
60	0.9887798036	0.02266419124
61	0.9887798036	0.02253711362
62	0.9887798036	0.02238716455
63	0.9887798036	0.02229658271
64	0.9887798036	0.02222837687
65	0.9887798036	0.02216891911
66	0.9887798036	0.02209591265
67	0.9887798036	0.02205420154
68	0.9887798036	0.02200768559
69	0.9887798036	0.02197295325
70	0.9887798036	0.02189447292
71	0.9887798036	0.02186152212
72	0.9887798036	0.02184172756
73	0.9887798036	0.02181105498
74	0.9887798036	0.02176661874
75	0.9887798036	0.02173577053
76	0.9887798036	0.02170811092
77	0.9887798036	0.02163148164
78	0.9887798036	0.0215978381
79	0.9887798036	0.0215796019
80	0.9887798036	0.02155865017
81	0.9887798036	0.0215387865
82	0.9887798036	0.02150553574
83	0.9887798036	0.02147643366
84	0.9887798036	0.02145543127
85	0.9887798036	0.02143638385
86	0.9887798036	0.02143635269
87	0.9887798036	0.02143633805
88	0.9887798036	0.02141168256
89	0.9887798036	0.02141165471
90	0.9887798036	0.02140023473
91	0.9887798036	0.02138578228
92	0.9887798036	0.02136108495
93	0.9887798036	0.02133266057
94	0.9887798036	0.0213072423
95	0.9887798036	0.02129484586
96	0.9887798036	0.02129483472
97	0.9887798036	0.02129482479
98	0.9887798036	0.02128199676
99	0.9887798036	0.02128199676
100	0.9887798036	0.02127393799
