iter	Passed	Remaining
0	1	1844
1	2	1395
2	3	1226
3	4	1136
4	4	1045
5	5	1019
6	6	998
7	6	961
8	7	943
9	8	932
10	8	921
11	9	916
12	10	911
13	11	910
14	12	898
15	12	895
16	13	897
17	14	898
18	15	901
19	16	903
20	17	907
21	17	911
22	18	913
23	19	914
24	20	913
25	21	912
26	22	910
27	22	909
28	23	908
29	24	908
30	25	908
31	26	906
32	27	907
33	27	906
34	28	904
35	29	905
36	30	905
37	31	906
38	32	907
39	33	909
40	34	913
41	35	914
42	35	913
43	36	913
44	37	908
45	38	909
46	39	908
47	40	909
48	40	907
49	41	908
50	42	907
51	42	895
52	43	892
53	44	891
54	45	890
55	46	890
56	46	890
57	47	889
58	48	889
59	49	888
60	50	888
61	51	888
62	52	887
63	52	886
64	53	887
65	54	886
66	55	886
67	56	886
68	57	886
69	58	884
70	58	884
71	59	885
72	60	884
73	61	883
74	62	882
75	63	880
76	63	880
77	64	877
78	65	877
79	66	876
80	67	875
81	67	874
82	68	872
83	69	871
84	70	870
85	71	869
86	71	866
87	72	866
88	73	865
89	74	865
90	75	864
91	76	863
92	76	862
93	77	863
94	78	862
95	79	861
96	80	861
97	81	860
98	82	861
99	82	860
100	83	860
101	84	859
102	85	858
103	86	857
104	87	856
105	87	855
106	88	854
107	89	853
108	90	852
109	91	851
